unique_id,data_source,job_title,company_name,job_description,location,min_salary,max_salary,contract_time,contract_type,experience_level,skills_required
ADZ_5712067843,Adzuna_API,Data Engineer,ManTech International,"ManTech seeks a Data Engineer to support our IT department in developing and optimizing our data architecture and infrastructure to aid in critical national security missions. This role involves the design, construction, installation, testing, and maintenance of highly scalable data management systems. The ideal candidate will have a proven track record in engineering solutions that enable the intelligent use and analysis of large datasets in a secure, resilient, and efficient manner. Develop, …","Chantilly, Fairfax County",115000.0,160000.0,,,Not Specified,
ADZ_5712067907,Adzuna_API,Senior Data Engineer,ManTech International,"ManTech International seeks a Senior Data Engineer to join our Data Science & Artificial Intelligence (AI) team within the Information Technology (IT) domain. In this role, you will design, build, and optimize scalable data pipelines and architectures supporting mission-critical national security programs. You will collaborate with data scientists and engineers to enable advanced analytics, AI/ML solutions, and secure data integration. ManTech fosters a culture of innovation, integrity, and res…","Chantilly, Fairfax County",145000.0,180000.0,,,Not Specified,
ADZ_5728506923,Adzuna_API,"Principal, Data Engineering",Cargill,"Cargill is committed to providing food and agricultural solutions to nourish the world in a safe, responsible, and sustainable way. Sitting at the heart of the supply chain, we partner with farmers and customers to source, make and deliver products that are vital for living. Our 155,000 team members innovate with purpose, providing customers with life’s essentials so businesses can grow, communities prosper, and consumers live well. With over 160 years of experience as a family company, we look…","Atlanta, Fulton County",145712.25,145712.25,,,Not Specified,
ADZ_5713218600,Adzuna_API,Data Engineer,Ready Foods Inc.,"Data Engineer, Denver, CO: The Data Engineer plays a key role in delivering Ready Foods’ vision of building a best-in-class Data and Decision Intelligence (DDI) ecosystem. The Data Engineer supports the digital transformation of our manufacturing operations, translating technical requirements from our factories into targeted solutions that fit into Ready Foods’ broader data framework, roadmap, and architecture. The Data Engineer is responsible for supporting the extract, transform, and load pro…","Colorado, US",105575.8,105575.8,,,Not Specified,
ADZ_5680352019,Adzuna_API,Data Engineer,NRMP,"About the Organization The National Resident Matching Program® (NRMP®) is a private, not-for-profit organization established in 1952 to provide a uniform date of appointment to positions in graduate medical education (GME) in the United States. The NRMP is not an application processing service; rather, it provides an impartial venue for matching applicants’ and programs’ preferences for each other consistently. The NRMP conducts the annual Main Residency Match encompassing 40,000 applicants for…",US,115727.96,115727.96,,,Not Specified,
ADZ_5720597380,Adzuna_API,Data Engineer,Brooksource,"Data Engineer Brooksource Fortune 500 Oil & Gas Client Houston, TX Overview We are partnering with a rapidly growing data and AI team within a leading energy organization that is building out its core data engineering capabilities. This team serves as a centralized R&D function, enabling enterprise-wide analytics and AI initiatives by transforming complex, fragmented data into scalable, production-ready assets. This role sits within a small but expanding pod led by a Data Science leader and wor…","Texas, US",142355.16,142355.16,,,Not Specified,
ADZ_5718697450,Adzuna_API,Data Engineer,"Cutsforth,LLC","Role Information: Job Title: Data Engineer Work Location: Remote position, home office, but will need to be onsite for a week in our Washington office for onboarding Employment Type: Full-time Employment Status: Exempt, salaried Visa sponsorship is not available for this position. Must reside in the United States. We are not accepting applicants for remote workers in California, Illinois, and New York at this time. Compensation: Annual base salary of $107,250- $126,889 depending on years of exp…",US,96865.08,96865.08,,,Not Specified,
ADZ_5720634646,Adzuna_API,Data Engineer,Axelon Services Corporation,"Title: Date Engineer (Remote) Location: Long Beach, CA We are seeking a skilled Data Engineer to support enterprise data platform initiatives. This role focuses on transforming and engineering operational data into actionable, high-quality data solutions that support enterprise analytics, reporting, and business decision-making. The ideal candidate brings strong expertise in modern data engineering, cloud-based data platforms, and healthcare data environments, with the ability to design scalabl…","Aliso Viejo, Orange County",95406.17,95406.17,,,Not Specified,
ADZ_5680358792,Adzuna_API,Data Engineer,Kforce Technology Staffing,"RESPONSIBILITIES: Kforce has a client that is seeking a Data Engineer in Juno Beach, FL. Key Responsibilities: * Clean, preprocess, and transform structured and unstructured data using Python * Data Engineer will perform exploratory data analysis (EDA) to uncover insights and trends * Build reusable data pipelines and feature engineering workflows * Work with SQL and/or cloud-based data warehouses to extract and prepare data * Collaborate with stakeholders to translate business problems into da…","Juno Beach, Palm Beach County",111847.57,111847.57,,,Not Specified,
ADZ_5729970025,Adzuna_API,Data Engineer,"Ekman Associates, Inc","Title: Data Engineer Location: Remote / Remote Commutable Ekman Associates, Inc. is a Southern California based company focused on the following services: Management Consulting, Professional Staffing Solutions, Executive Recruiting and Managed Services. Summary: As a Data Engineer, you will play a key role in designing and building scalable, real-time and batch data solutions that power analytics and operational platforms. This role will focus on building and maintaining API connectors, setting…","California, US",123094.41,123094.41,,,Not Specified,
